Local Keywords,Month,Traffic Source,Views,Visits
travel allowance,Oct-13,External,483,258
travel allowance,Oct-13,Internal,7,2
salary sacrifice,Oct-13,External,492,225
salary sacrifice,Oct-13,Internal,4,4
calculator,Oct-13,External,497,236
calculator,Oct-13,Internal,9,4
hobby,Oct-13,External,427,189
hobby,Oct-13,Internal,5,5
inheritance,Oct-13,External,717,229
inheritance,Oct-13,Internal,11,5
fbt,Oct-13,External,243,171
fbt,Oct-13,Internal,1,1
1432,Oct-13,External,67,56
1432,Oct-13,Internal,3,3
73194,Oct-13,External,410,162
73194,Oct-13,Internal,67,48
non resident,Oct-13,External,439,239
non resident,Oct-13,Internal,18,9
superannuation guarantee,Oct-13,External,358,158
low income tax offset,Oct-13,External,610,337
low income tax offset,Oct-13,Internal,12,10
help debt,Oct-13,External,372,228
help debt,Oct-13,Internal,9,2
gst registration,Oct-13,External,418,175
gst registration,Oct-13,Internal,6,3
auskey,Oct-13,External,210,159
auskey,Oct-13,Internal,2,2
travel expenses,Oct-13,External,545,231
travel expenses,Oct-13,Internal,13,4
medical expenses,Oct-13,External,536,283
medical expenses,Oct-13,Internal,9,5
foreign exchange rates,Oct-13,External,289,184
foreign exchange rates,Oct-13,Internal,2,2
payg withholding,Oct-13,External,355,213
payg withholding,Oct-13,Internal,2,2
mileage,Oct-13,External,236,184
mileage,Oct-13,Internal,2,2
calculators,Oct-13,External,711,255
calculators,Oct-13,Internal,13,3
non lodgment,Oct-13,External,273,209
non lodgment,Oct-13,Internal,13,9
bas,Oct-13,External,310,214
bas,Oct-13,Internal,9,5
notice of assessment,Oct-13,External,289,221
notice of assessment,Oct-13,Internal,3,2
tax return,Oct-13,External,345,205
tax return,Oct-13,Internal,9,9
payment summary,Oct-13,External,332,201
payment summary,Oct-13,Internal,12,9
car allowance,Oct-13,External,287,156
car allowance,Oct-13,Internal,13,9
car expenses,Oct-13,External,370,207
car expenses,Oct-13,Internal,2,2
withholding tax,Oct-13,External,407,211
withholding tax,Oct-13,Internal,4,2
individual tax return instructions,Oct-13,External,533,255
individual tax return instructions,Oct-13,Internal,17,13
weekly tax table,Oct-13,External,186,142
weekly tax table,Oct-13,Internal,2,2
amendment,Oct-13,External,254,190
amendment,Oct-13,Internal,9,7
company tax return 2013,Oct-13,External,587,185
company tax return 2013,Oct-13,Internal,4,3
2943,Oct-13,External,44,35
2943,Oct-13,Internal,2,2
tfn application,Oct-13,External,273,143
tfn application,Oct-13,Internal,7,7
motor vehicle,Oct-13,External,381,190
motor vehicle,Oct-13,Internal,6,5
foreign income,Oct-13,External,468,202
foreign income,Oct-13,Internal,8,3
tax withheld calculator,Oct-13,External,198,159
tax withheld calculator,Oct-13,Internal,4,4
rental property,Oct-13,External,313,174
rental property,Oct-13,Internal,4,3
foreign exchange rate,Oct-13,External,217,136
foreign exchange rate,Oct-13,Internal,1,1
capital gains,Oct-13,External,349,168
capital gains,Oct-13,Internal,4,4
depreciation rates,Oct-13,External,263,133
depreciation rates,Oct-13,Internal,3,1
cgt,Oct-13,External,344,155
cgt,Oct-13,Internal,3,2
payg instalments,Oct-13,External,213,118
payg instalments,Oct-13,Internal,17,10
tax offsets,Oct-13,External,492,178
tax offsets,Oct-13,Internal,6,2
allowances,Oct-13,External,254,125
allowances,Oct-13,Internal,5,4
tfn,Oct-13,External,152,103
tfn,Oct-13,Internal,2,2
company tax return instructions,Oct-13,External,554,161
company tax return instructions,Oct-13,Internal,11,5
gifts,Oct-13,External,238,121
gifts,Oct-13,Internal,2,2
residency,Oct-13,External,356,159
residency,Oct-13,Internal,25,16
fortnightly tax table,Oct-13,External,147,112
fortnightly tax table,Oct-13,Internal,4,3
tax file number declaration,Oct-13,External,139,108
exchange rate,Oct-13,External,237,138
income tax rates,Oct-13,External,321,225
income tax rates,Oct-13,Internal,8,7
super guarantee,Oct-13,External,213,125
super guarantee,Oct-13,Internal,6,6
benchmark,Oct-13,External,202,99
benchmark,Oct-13,Internal,3,3
contact,Oct-13,External,152,108
contact,Oct-13,Internal,3,3
termination,Oct-13,External,197,113
termination,Oct-13,Internal,2,2
trust tax return,Oct-13,External,491,225
trust tax return,Oct-13,Internal,19,10
cr 2013/18,Oct-13,External,326,238
fuel tax credits,Oct-13,External,274,134
deductions,Oct-13,External,294,174
deductions,Oct-13,Internal,4,4
tax,Oct-13,External,159,114
tax,Oct-13,Internal,6,4
1005,Oct-13,External,139,95
1005,Oct-13,Internal,1,1
tax pack,Oct-13,External,259,157
tax pack,Oct-13,Internal,7,7
tax declaration form,Oct-13,External,149,100
tax declaration form,Oct-13,Internal,1,1
overseas income,Oct-13,External,294,182
overseas income,Oct-13,Internal,13,8
statutory declaration,Oct-13,External,220,122
statutory declaration,Oct-13,Internal,8,7
deceased estate,Oct-13,External,240,104
deceased estate,Oct-13,Internal,3,3
rental properties,Oct-13,External,204,113
rental properties,Oct-13,Internal,4,4
individual tax return instructions supplement,Oct-13,External,231,169
individual tax return instructions supplement,Oct-13,Internal,5,3
help,Nov-13,External,605,438
help,Nov-13,Internal,20,11
superseeker,Nov-13,External,488,380
superseeker,Nov-13,Internal,14,10
superannuation,Nov-13,External,664,441
superannuation,Nov-13,Internal,5,4
forms,Nov-13,External,723,381
forms,Nov-13,Internal,20,12
departing australia superannuation payment,Nov-13,External,503,354
departing australia superannuation payment,Nov-13,Internal,29,23
gst,Nov-13,External,836,415
gst,Nov-13,Internal,55,14
depreciation,Nov-13,External,593,344
depreciation,Nov-13,Internal,7,5
tax tables,Nov-13,External,330,276
tax tables,Nov-13,Internal,24,18
tax rates,Nov-13,External,332,243
tax rates,Nov-13,Internal,13,11
cents per kilometre,Nov-13,External,632,307
cents per kilometre,Nov-13,Internal,1,1
redundancy,Nov-13,External,719,351
redundancy,Nov-13,Internal,40,11
taxpack,Nov-13,External,283,228
taxpack,Nov-13,Internal,38,29
8676,Nov-13,External,97,74
8676,Nov-13,Internal,5,5
living away from home allowance,Nov-13,External,418,258
living away from home allowance,Nov-13,Internal,15,6
tax rate,Nov-13,External,308,243
tax rate,Nov-13,Internal,4,4
senior australians and pensioner tax offset,Nov-13,External,407,280
senior australians and pensioner tax offset,Nov-13,Internal,20,15
payg,Nov-13,External,244,180
payg,Nov-13,Internal,11,7
medicare levy,Nov-13,External,307,210
medicare levy,Nov-13,Internal,14,8
hecs,Nov-13,External,366,217
hecs,Nov-13,Internal,4,2
etax 2012,Nov-13,External,308,238
tax calculator,Nov-13,External,205,158
tax calculator,Nov-13,Internal,2,2
tax table,Nov-13,External,245,198
tax table,Nov-13,Internal,10,10
tax file number,Nov-13,External,264,222
tax file number,Nov-13,Internal,5,4
medicare levy surcharge,Nov-13,External,334,226
medicare levy surcharge,Nov-13,Internal,24,18
abn,Nov-13,External,296,196
abn,Nov-13,Internal,50,10
super,Nov-13,External,259,209
super,Nov-13,Internal,11,6
tax free threshold,Nov-13,External,195,160
tax free threshold,Nov-13,Internal,6,6
foreign resident,Nov-13,External,258,173
foreign resident,Nov-13,Internal,34,15
capital gains tax,Nov-13,External,264,151
capital gains tax,Nov-13,Internal,11,9
company tax return,Nov-13,External,243,129
company tax return,Nov-13,Internal,35,14
travel allowance,Nov-13,External,366,202
travel allowance,Nov-13,Internal,1,1
salary sacrifice,Nov-13,External,245,159
salary sacrifice,Nov-13,Internal,5,5
calculator,Nov-13,External,258,144
calculator,Nov-13,Internal,15,4
hobby,Nov-13,External,293,143
hobby,Nov-13,Internal,12,9
inheritance,Nov-13,External,350,114
inheritance,Nov-13,Internal,17,7
fbt,Nov-13,External,229,168
fbt,Nov-13,Internal,70,19
1432,Nov-13,External,199,145
1432,Nov-13,Internal,32,22
73194,Nov-13,External,285,163
73194,Nov-13,Internal,134,84
non resident,Nov-13,External,278,152
non resident,Nov-13,Internal,15,10
superannuation guarantee,Nov-13,External,312,159
superannuation guarantee,Nov-13,Internal,16,7
low income tax offset,Nov-13,External,166,105
low income tax offset,Nov-13,Internal,23,11
help debt,Nov-13,External,157,114
help debt,Nov-13,Internal,5,5
gst registration,Nov-13,External,264,138
gst registration,Nov-13,Internal,2,2
auskey,Nov-13,External,133,121
auskey,Nov-13,Internal,7,3
travel expenses,Nov-13,External,299,160
travel expenses,Nov-13,Internal,2,1
medical expenses,Nov-13,External,205,125
medical expenses,Nov-13,Internal,2,1
foreign exchange rates,Nov-13,External,148,127
foreign exchange rates,Nov-13,Internal,4,4
payg withholding,Nov-13,External,222,152
payg withholding,Nov-13,Internal,5,4
mileage,Nov-13,External,161,136
calculators,Nov-13,External,415,110
calculators,Nov-13,Internal,10,5
non lodgment,Nov-13,External,144,96
non lodgment,Nov-13,Internal,20,18
bas,Nov-13,External,197,137
bas,Nov-13,Internal,3,2
notice of assessment,Nov-13,External,151,125
notice of assessment,Nov-13,Internal,1,1
tax return,Nov-13,External,155,108
tax return,Nov-13,Internal,23,16
payment summary,Nov-13,External,187,137
payment summary,Nov-13,Internal,25,9
car allowance,Nov-13,External,218,139
car allowance,Nov-13,Internal,7,2
car expenses,Nov-13,External,212,136
car expenses,Nov-13,Internal,12,5
withholding tax,Nov-13,External,156,103
withholding tax,Nov-13,Internal,1,1
individual tax return instructions,Nov-13,External,146,92
individual tax return instructions,Nov-13,Internal,17,10
weekly tax table,Nov-13,External,171,143
weekly tax table,Nov-13,Internal,1,1
amendment,Nov-13,External,184,144
amendment,Nov-13,Internal,28,19
company tax return 2013,Nov-13,External,210,85
company tax return 2013,Nov-13,Internal,13,5
2943,Nov-13,External,38,21
2943,Nov-13,Internal,3,3
tfn application,Nov-13,External,163,111
tfn application,Nov-13,Internal,4,4
motor vehicle,Nov-13,External,196,117
motor vehicle,Nov-13,Internal,2,1
foreign income,Nov-13,External,137,71
foreign income,Nov-13,Internal,13,6
tax withheld calculator,Nov-13,External,134,117
tax withheld calculator,Nov-13,Internal,4,4
rental property,Nov-13,External,290,113
rental property,Nov-13,Internal,5,5
foreign exchange rate,Nov-13,External,141,100
foreign exchange rate,Nov-13,Internal,1,1
capital gains,Nov-13,External,205,107
capital gains,Nov-13,Internal,2,2
depreciation rates,Nov-13,External,193,113
cgt,Nov-13,External,113,81
cgt,Nov-13,Internal,6,4
payg instalments,Nov-13,External,80,51
payg instalments,Nov-13,Internal,18,11
tax offsets,Nov-13,External,259,80
tax offsets,Nov-13,Internal,47,12
allowances,Nov-13,External,263,106
allowances,Nov-13,Internal,13,9
tfn,Nov-13,External,143,110
tfn,Nov-13,Internal,5,4
company tax return instructions,Nov-13,External,155,78
company tax return instructions,Nov-13,Internal,11,3
gifts,Nov-13,External,173,94
gifts,Nov-13,Internal,7,3
residency,Nov-13,External,118,75
residency,Nov-13,Internal,34,19
fortnightly tax table,Nov-13,External,104,94
fortnightly tax table,Nov-13,Internal,1,1
tax file number declaration,Nov-13,External,150,105
exchange rate,Nov-13,External,168,113
exchange rate,Nov-13,Internal,2,2
income tax rates,Nov-13,External,71,66
super guarantee,Nov-13,External,139,90
super guarantee,Nov-13,Internal,4,4
benchmark,Nov-13,External,189,114
benchmark,Nov-13,Internal,2,2
contact,Nov-13,External,131,99
contact,Nov-13,Internal,1,1
termination,Nov-13,External,193,118
termination,Nov-13,Internal,4,4
trust tax return,Nov-13,External,121,56
trust tax return,Nov-13,Internal,7,7
cr 2013/18,Nov-13,External,134,87
fuel tax credits,Nov-13,External,181,133
fuel tax credits,Nov-13,Internal,6,6
deductions,Nov-13,External,126,84
deductions,Nov-13,Internal,13,7
tax,Nov-13,External,92,73
tax,Nov-13,Internal,19,8
1005,Nov-13,External,94,80
1005,Nov-13,Internal,9,9
tax pack,Nov-13,External,114,78
tax pack,Nov-13,Internal,4,4
tax declaration form,Nov-13,External,138,99
overseas income,Nov-13,External,86,51
overseas income,Nov-13,Internal,7,5
statutory declaration,Nov-13,External,92,70
statutory declaration,Nov-13,Internal,23,18
deceased estate,Nov-13,External,124,74
deceased estate,Nov-13,Internal,4,3
rental properties,Nov-13,External,142,83
rental properties,Nov-13,Internal,10,3
individual tax return instructions supplement,Nov-13,External,76,63
individual tax return instructions supplement,Nov-13,Internal,9,7
help,Dec-13,External,406,283
help,Dec-13,Internal,22,13
superseeker,Dec-13,External,326,261
superseeker,Dec-13,Internal,7,6
superannuation,Dec-13,External,525,312
superannuation,Dec-13,Internal,15,12
forms,Dec-13,External,576,285
forms,Dec-13,Internal,13,8
departing australia superannuation payment,Dec-13,External,398,303
departing australia superannuation payment,Dec-13,Internal,26,19
gst,Dec-13,External,466,242
gst,Dec-13,Internal,76,13
depreciation,Dec-13,External,376,213
depreciation,Dec-13,Internal,19,10
tax tables,Dec-13,External,300,213
tax tables,Dec-13,Internal,30,22
tax rates,Dec-13,External,185,152
tax rates,Dec-13,Internal,21,18
cents per kilometre,Dec-13,External,389,208
cents per kilometre,Dec-13,Internal,3,3
redundancy,Dec-13,External,338,210
redundancy,Dec-13,Internal,19,8
taxpack,Dec-13,External,205,166
taxpack,Dec-13,Internal,28,21
8676,Dec-13,External,604,425
8676,Dec-13,Internal,16,11
living away from home allowance,Dec-13,External,231,163
living away from home allowance,Dec-13,Internal,7,7
tax rate,Dec-13,External,209,180
tax rate,Dec-13,Internal,2,2
senior australians and pensioner tax offset,Dec-13,External,272,181
senior australians and pensioner tax offset,Dec-13,Internal,18,17
payg,Dec-13,External,264,204
payg,Dec-13,Internal,29,15
medicare levy,Dec-13,External,248,161
medicare levy,Dec-13,Internal,18,9
hecs,Dec-13,External,272,184
hecs,Dec-13,Internal,7,4
etax 2012,Dec-13,External,267,180
etax 2012,Dec-13,Internal,2,1
tax calculator,Dec-13,External,197,144
tax calculator,Dec-13,Internal,2,1
tax table,Dec-13,External,183,154
tax table,Dec-13,Internal,8,6
tax file number,Dec-13,External,219,182
tax file number,Dec-13,Internal,1,1
medicare levy surcharge,Dec-13,External,226,127
medicare levy surcharge,Dec-13,Internal,14,8
abn,Dec-13,External,227,170
abn,Dec-13,Internal,28,11
super,Dec-13,External,202,133
super,Dec-13,Internal,34,10
tax free threshold,Dec-13,External,174,126
tax free threshold,Dec-13,Internal,11,8
foreign resident,Dec-13,External,224,133
foreign resident,Dec-13,Internal,19,14
capital gains tax,Dec-13,External,152,89
capital gains tax,Dec-13,Internal,13,8
company tax return,Dec-13,External,183,98
company tax return,Dec-13,Internal,31,15
travel allowance,Dec-13,External,191,117
travel allowance,Dec-13,Internal,2,1
salary sacrifice,Dec-13,External,160,119
salary sacrifice,Dec-13,Internal,7,4
calculator,Dec-13,External,212,99
calculator,Dec-13,Internal,11,3
hobby,Dec-13,External,251,114
hobby,Dec-13,Internal,20,11
inheritance,Dec-13,External,310,128
inheritance,Dec-13,Internal,13,7
fbt,Dec-13,External,157,114
fbt,Dec-13,Internal,28,6
1432,Dec-13,External,161,114
1432,Dec-13,Internal,21,18
73194,Dec-13,External,143,79
73194,Dec-13,Internal,74,53
non resident,Dec-13,External,166,98
non resident,Dec-13,Internal,13,8
superannuation guarantee,Dec-13,External,159,101
superannuation guarantee,Dec-13,Internal,12,6
low income tax offset,Dec-13,External,98,64
low income tax offset,Dec-13,Internal,4,4
help debt,Dec-13,External,121,95
help debt,Dec-13,Internal,4,3
gst registration,Dec-13,External,197,102
gst registration,Dec-13,Internal,16,6
auskey,Dec-13,External,122,107
auskey,Dec-13,Internal,12,5
travel expenses,Dec-13,External,159,81
travel expenses,Dec-13,Internal,1,1
medical expenses,Dec-13,External,150,83
medical expenses,Dec-13,Internal,3,2
foreign exchange rates,Dec-13,External,131,102
foreign exchange rates,Dec-13,Internal,3,2
payg withholding,Dec-13,External,114,96
payg withholding,Dec-13,Internal,10,4
mileage,Dec-13,External,120,99
calculators,Dec-13,External,308,92
calculators,Dec-13,Internal,29,11
non lodgment,Dec-13,External,192,122
non lodgment,Dec-13,Internal,35,30
bas,Dec-13,External,147,78
bas,Dec-13,Internal,3,2
notice of assessment,Dec-13,External,130,91
notice of assessment,Dec-13,Internal,35,3
tax return,Dec-13,External,105,73
tax return,Dec-13,Internal,9,6
payment summary,Dec-13,External,129,95
payment summary,Dec-13,Internal,9,5
car allowance,Dec-13,External,141,95
car allowance,Dec-13,Internal,5,4
car expenses,Dec-13,External,158,89
car expenses,Dec-13,Internal,11,5
withholding tax,Dec-13,External,135,90
withholding tax,Dec-13,Internal,5,4
individual tax return instructions,Dec-13,External,119,76
individual tax return instructions,Dec-13,Internal,29,18
weekly tax table,Dec-13,External,101,93
weekly tax table,Dec-13,Internal,2,2
amendment,Dec-13,External,88,73
amendment,Dec-13,Internal,30,26
company tax return 2013,Dec-13,External,138,63
company tax return 2013,Dec-13,Internal,16,5
2943,Dec-13,External,175,71
2943,Dec-13,Internal,34,19
tfn application,Dec-13,External,119,82
tfn application,Dec-13,Internal,7,6
motor vehicle,Dec-13,External,149,95
motor vehicle,Dec-13,Internal,1,1
foreign income,Dec-13,External,118,63
foreign income,Dec-13,Internal,21,12
tax withheld calculator,Dec-13,External,130,108
tax withheld calculator,Dec-13,Internal,5,5
rental property,Dec-13,External,113,71
rental property,Dec-13,Internal,3,1
foreign exchange rate,Dec-13,External,103,72
foreign exchange rate,Dec-13,Internal,2,2
capital gains,Dec-13,External,124,56
capital gains,Dec-13,Internal,3,2
depreciation rates,Dec-13,External,118,74
cgt,Dec-13,External,86,58
cgt,Dec-13,Internal,8,7
payg instalments,Dec-13,External,116,83
payg instalments,Dec-13,Internal,52,34
tax offsets,Dec-13,External,217,77
tax offsets,Dec-13,Internal,23,10
allowances,Dec-13,External,143,73
allowances,Dec-13,Internal,7,5
tfn,Dec-13,External,84,67
tfn,Dec-13,Internal,19,6
company tax return instructions,Dec-13,External,152,70
company tax return instructions,Dec-13,Internal,18,10
gifts,Dec-13,External,178,76
gifts,Dec-13,Internal,5,4
residency,Dec-13,External,77,57
residency,Dec-13,Internal,33,18
fortnightly tax table,Dec-13,External,80,68
fortnightly tax table,Dec-13,Internal,2,2
tax file number declaration,Dec-13,External,87,64
tax file number declaration,Dec-13,Internal,2,1
exchange rate,Dec-13,External,88,41
exchange rate,Dec-13,Internal,6,4
income tax rates,Dec-13,External,48,46
income tax rates,Dec-13,Internal,1,1
super guarantee,Dec-13,External,121,65
super guarantee,Dec-13,Internal,9,6
benchmark,Dec-13,External,94,57
benchmark,Dec-13,Internal,3,3
contact,Dec-13,External,89,68
contact,Dec-13,Internal,3,2
termination,Dec-13,External,101,58
termination,Dec-13,Internal,1,1
trust tax return,Dec-13,External,118,47
trust tax return,Dec-13,Internal,15,6
cr 2013/18,Dec-13,External,73,60
fuel tax credits,Dec-13,External,48,34
fuel tax credits,Dec-13,Internal,26,13
deductions,Dec-13,External,87,43
deductions,Dec-13,Internal,6,4
tax,Dec-13,External,72,59
tax,Dec-13,Internal,51,20
1005,Dec-13,External,85,68
1005,Dec-13,Internal,4,2
tax pack,Dec-13,External,57,43
tax pack,Dec-13,Internal,15,7
tax declaration form,Dec-13,External,94,66
overseas income,Dec-13,External,70,36
overseas income,Dec-13,Internal,4,1
statutory declaration,Dec-13,External,68,50
statutory declaration,Dec-13,Internal,18,15
deceased estate,Dec-13,External,127,68
deceased estate,Dec-13,Internal,6,3
rental properties,Dec-13,External,133,55
rental properties,Dec-13,Internal,7,5
individual tax return instructions supplement,Dec-13,External,73,49
individual tax return instructions supplement,Dec-13,Internal,17,14
help,Jan-14,External,669,470
help,Jan-14,Internal,35,22
superseeker,Jan-14,External,520,375
superseeker,Jan-14,Internal,26,20
superannuation,Jan-14,External,633,387
superannuation,Jan-14,Internal,28,10
forms,Jan-14,External,622,357
forms,Jan-14,Internal,17,10
departing australia superannuation payment,Jan-14,External,589,448
departing australia superannuation payment,Jan-14,Internal,45,32
gst,Jan-14,External,606,299
gst,Jan-14,Internal,58,28
depreciation,Jan-14,External,432,254
depreciation,Jan-14,Internal,18,9
tax tables,Jan-14,External,304,233
tax tables,Jan-14,Internal,37,29
tax rates,Jan-14,External,269,227
tax rates,Jan-14,Internal,35,25
cents per kilometre,Jan-14,External,489,278
cents per kilometre,Jan-14,Internal,25,15
redundancy,Jan-14,External,392,208
redundancy,Jan-14,Internal,24,13
taxpack,Jan-14,External,245,195
taxpack,Jan-14,Internal,54,34
8676,Jan-14,External,442,337
8676,Jan-14,Internal,12,10
living away from home allowance,Jan-14,External,394,269
living away from home allowance,Jan-14,Internal,20,13
tax rate,Jan-14,External,289,232
tax rate,Jan-14,Internal,15,7
senior australians and pensioner tax offset,Jan-14,External,266,192
senior australians and pensioner tax offset,Jan-14,Internal,49,28
payg,Jan-14,External,271,179
payg,Jan-14,Internal,23,16
medicare levy,Jan-14,External,302,210
medicare levy,Jan-14,Internal,162,28
hecs,Jan-14,External,460,266
hecs,Jan-14,Internal,11,5
etax 2012,Jan-14,External,259,177
etax 2012,Jan-14,Internal,5,4
tax calculator,Jan-14,External,244,175
tax calculator,Jan-14,Internal,2,2
tax table,Jan-14,External,227,194
tax table,Jan-14,Internal,13,11
tax file number,Jan-14,External,278,235
tax file number,Jan-14,Internal,2,2
medicare levy surcharge,Jan-14,External,395,231
medicare levy surcharge,Jan-14,Internal,51,33
abn,Jan-14,External,234,185
abn,Jan-14,Internal,18,13
super,Jan-14,External,306,212
super,Jan-14,Internal,6,6
tax free threshold,Jan-14,External,279,182
tax free threshold,Jan-14,Internal,13,9
foreign resident,Jan-14,External,250,178
foreign resident,Jan-14,Internal,54,21
capital gains tax,Jan-14,External,312,172
capital gains tax,Jan-14,Internal,23,15
company tax return,Jan-14,External,270,134
company tax return,Jan-14,Internal,41,19
travel allowance,Jan-14,External,217,128
travel allowance,Jan-14,Internal,6,5
salary sacrifice,Jan-14,External,258,130
salary sacrifice,Jan-14,Internal,9,7
calculator,Jan-14,External,296,139
calculator,Jan-14,Internal,17,10
hobby,Jan-14,External,267,147
hobby,Jan-14,Internal,45,23
inheritance,Jan-14,External,395,152
inheritance,Jan-14,Internal,48,9
fbt,Jan-14,External,175,137
fbt,Jan-14,Internal,24,14
1432,Jan-14,External,225,150
1432,Jan-14,Internal,53,39
73194,Jan-14,External,135,85
73194,Jan-14,Internal,57,45
non resident,Jan-14,External,199,124
non resident,Jan-14,Internal,34,14
superannuation guarantee,Jan-14,External,282,163
superannuation guarantee,Jan-14,Internal,9,8
low income tax offset,Jan-14,External,172,111
low income tax offset,Jan-14,Internal,12,8
help debt,Jan-14,External,187,133
help debt,Jan-14,Internal,3,3
gst registration,Jan-14,External,272,144
gst registration,Jan-14,Internal,18,12
auskey,Jan-14,External,153,132
auskey,Jan-14,Internal,14,10
travel expenses,Jan-14,External,255,115
travel expenses,Jan-14,Internal,9,4
medical expenses,Jan-14,External,226,119
medical expenses,Jan-14,Internal,2,2
foreign exchange rates,Jan-14,External,124,106
foreign exchange rates,Jan-14,Internal,2,2
payg withholding,Jan-14,External,138,109
payg withholding,Jan-14,Internal,6,5
mileage,Jan-14,External,141,125
mileage,Jan-14,Internal,5,3
calculators,Jan-14,External,356,88
calculators,Jan-14,Internal,27,11
non lodgment,Jan-14,External,120,77
non lodgment,Jan-14,Internal,50,38
bas,Jan-14,External,161,109
bas,Jan-14,Internal,12,9
notice of assessment,Jan-14,External,243,143
notice of assessment,Jan-14,Internal,20,5
tax return,Jan-14,External,119,96
tax return,Jan-14,Internal,30,24
payment summary,Jan-14,External,120,92
payment summary,Jan-14,Internal,16,10
car allowance,Jan-14,External,237,122
car allowance,Jan-14,Internal,5,4
car expenses,Jan-14,External,173,112
car expenses,Jan-14,Internal,22,6
withholding tax,Jan-14,External,180,119
withholding tax,Jan-14,Internal,9,6
individual tax return instructions,Jan-14,External,121,74
individual tax return instructions,Jan-14,Internal,24,16
weekly tax table,Jan-14,External,127,111
weekly tax table,Jan-14,Internal,3,2
amendment,Jan-14,External,81,63
amendment,Jan-14,Internal,34,31
company tax return 2013,Jan-14,External,190,86
company tax return 2013,Jan-14,Internal,13,8
2943,Jan-14,External,160,80
2943,Jan-14,Internal,89,48
tfn application,Jan-14,External,221,133
tfn application,Jan-14,Internal,16,12
motor vehicle,Jan-14,External,175,104
